VOICE_NAME,IN_USE,DecIdx,HexIdx,During edit be attentive about order voice
V_AC_FAIL,1,0,,
V_ALARM_IN_MEMORY,1,1,,
V_ARMING_AWAY,1,2,, correct 2011-12-22. Ver. K13.027
V_ARMING_HOME,1,3,,
V_AWAY,1,4,,
V_BURGLAR_ALARM,1,5,,
V_CHECK_SYSTEM_TO_TROUBLE,1,6,0x06, correct 2011-12-24. Ver. K13.027
V_COMMUNICATION_FAIL,1,7,,
V_AC_FAIL,0,,,
V_CPU,1,8,,
V_DISARM,1,9,, correct 2011-12-24. Ver. K13.027
V_EMERGENCY,1,10,, correct 2011-12-22. Ver. K13.027
V_FIRE_ALARM,1,11,,
V_FORCE_ARMING,1,12,,
V_FUSE_FAILURE,1,13,,
V_HOME,1,14,,
V_INACTIVITY,1,15,,
V_INSTANT,1,16,,
V_LATCHKEY_AWAY,1,17,,
V_LATCHKEY_DISARM,1,18,,
V_LINE_FAILURE,1,19,,
V_LOW_BATTERY,1,20,0x14, correct 2011-12-24. Ver. K13.027
V_NO_ACTIVITY,1,21,,
V_NOT_READY_TO_ARM,1,22,,
V_OPEN,1,23,, correct 2011-12-22. Ver. K13.027
V_PANIC_ALARM,1,24,, correct 2011-12-22. Ver. K13.027
V_PLEASE_DISARM,1,25,,
V_PLEASE_ENTER_CODE,1,26,, correct 2011-12-22. Ver. K13.027
V_PLEASE_EXIT_NOW,1,27,, correct 2011-12-22. Ver. K13.027
V_READY_TO_ARM,1,28,0x1C, correct 2011-12-24. Ver. K13.027
V_AC_FAIL,1,29,,
V_SYSTEM_JAMMED,1,30,,
V_AC_FAIL,1,31,,
V_TAMPER_ALARM,1,32,,
V_FIRE,1,33,, correct 2011-12-22. Ver. K13.027
V_TAMPER_OPEN,1,34,,
V_TROUBLE,1,35,,
V_AC_FAIL,1,36,,
V_KEYFOB,1,37,0x25, correct 2011-12-24. Ver. K13.027
V_AC_FAIL,1,38,,
V_NEW_MESSAGE,1,39,,
V_CALL_ENGINEER,1,40,,
V_BYPASS,1,41,,
V_AC_FAIL,1,42,,
V_REMOTE_COMMANDER,1,43,,
V_WIRELESS_KEYPAD,1,44,,
V_WIRELESS_SIREN,1,45,,
V_GSM_MODULE,1,46,,
V_WRONG_CODE,1,47,,
aaa,1,48,,
V_FLOOD_ALERT,1,49,,
V_GAS_ALERT,1,50,,
V_FIRE_SENSOR,1,51,,
V_GAS_SENSOR,1,52,,
V_ACTIV,1,53,,
V_NETWORK_FAILURE,1,54,,
V_ERROR,1,55,,
V_FLOOD,1,56,,
V_GAS,1,57,,
V_RSSI_LOW,1,58,,
V_ALERT_IN_MEMORY,1,59,,
V_TEMPERATURE_SENSOR,1,60,,
V_PROBE_TROUBLE,1,61,,
V_FREEZER_FAULT,1,62,,
V_FREEZE,1,63,,
V_COLD,1,64,,
V_HOT,1,65,,
V_PARTITION,1,66,0x42, correct 2011-12-24. Ver. K13.027
V_PARTITIONS,1,67,,
V_ONE,1,68,0x44, correct 2011-12-24. Ver. K13.027
V_TWO,1,69,,
V_THREE,1,70,,
V_FOUR,1,71,,
V_ALL_PART,1,72,,
V_SYSTEM_TROUBLES,1,73,,
V_SELECT_PARTITIONS,1,74,,
V_JAMMED,1,75,,
V_NOT_NETWORKED,1,76,,
V_WIRELESS_REPEATER,1,77,,
V_HANDHELD_TRANSMITTER,1,78,,
V_NOT_UPDATED,1,79,,
V_BAD_COMMUNICATION,1,80,,
V_MASKING_DETECTED,1,81,,
ccc,1,82,,
lll,1,83,,
mmm,1,84,,
nnn,1,85,,
ooo,1,86,,
ppp,1,87,,
V_DING_DONG,1,88,,
Attic,1,89,59, correct 2011-12-22. Ver. K13.027
Back door,1,90,5A,
Basement,1,91,5B,
Bathroom,1,92,,
Bedroom,1,93,,
Child room,1,94,,
Closet,1,95,,
Den,1,96,,
Dining room,1,97,,
Downstairs,1,98,,
Emergency,1,99,,
Fire,1,100,,
Front door,1,101,,
Garage,1,102,,
Garage door,1,103,67, correct 2011-12-22. Ver. K13.027
Guest room,1,104,68,
Hall,1,105,69,
Kitchen,1,106,6A,
Laundry room,1,107,6B, correct 2011-12-22. Ver. K13.027
Living room,1,108,,
Master bath,1,109,,
Master Bdrm,1,110,,
Office,1,111,,
Upstairs,1,112,,
Utility room,1,113,,
Yard,1,114,,
V_PROMPT_CUSTOM,1,,,
V_PROMPT_CUSTOM2,1,,,
V_PROMPT_CUSTOM3,1,,,
V_PROMPT_CUSTOM4,1,,,
V_PROMPT_CUSTOM5,1,,,
V_PROMPT_USER,1,,,
V_PROMPT_USER2,1,,,
V_PROMPT_USER3,1,,,
V_PROMPT_USER4,1,,,
V_PROMPT_HOUSE_ID,1,,,
V_PROMPT_LOCAL_MSG,1,,,
V_ADDR_DTMF_FACTORY_SERIAL_NUMBER,1,,,
V_ADDR_END_OF_VOICE_CHIP,1,,,
jjj,1,,,
bbb,1,,,
kkk,1,,,
ddd,1,,,
eee,1,,,
fff,1,,,
ggg,1,,,
hhh,1,,,
iii,1,,,
